"site"	"P_mgL"	"C_mgL"	"N_mgL"	"Q_ft3S"
"11532500"	"0.0168478260869565"	"1.45"	"0.390581395348837"	"5608.36727272727"
"11480780"	"0.190769230769231"	"2.79166666666667"	"0.437272727272727"	"230"
"11530500"	"0.0984507042253521"	"3.67659574468085"	"0.532628205128205"	"18109.6581196581"
"11482200"	"0.1225"	"2.83333333333333"	"0.46"	"1674.11621621622"
"11480750"	"0.260384615384615"	"3.856"	"0.364230769230769"	"3517.61538461538"
"11530000"	"0.0803404255319149"	"1.4375"	"0.247647058823529"	"13656.9463806971"
"11475560"	"0.0354913294797688"	"1.67777777777778"	"0.423977272727273"	"45.261038961039"
"11475000"	"0.465555555555556"	"4.03333333333333"	"0.687058823529412"	"39742.3414634146"
"11480500"	"0.06875"	"2.1125"	"0.306818181818182"	"875.335849056604"
"11480410"	"0.0745454545454546"	"1.40909090909091"	"0.351818181818182"	"93"
"11472150"	"0.112222222222222"	"2.90909090909091"	"0.352727272727273"	"3713.8028436019"
"11480390"	"0.057"	"1.4"	"0.363684210526316"	"2"
"11520500"	"0.145203389830508"	"6.16"	"0.685"	"3760.95744680851"
"11462000"	"0.122408695652174"	"3.13333333333333"	"0.376478873239437"	"539.515789473684"
"11462500"	"0.0778"	"2.74"	"0.466"	"772.298780487805"
"11471500"	"0.112941176470588"	"2.81176470588235"	"0.293529411764706"	"6"
"382659123065001"	"0.0265"	"1.9"	"0.54"	NA
"382605123060701"	"0.0406666666666667"	"3.4"	"0.176666666666667"	NA
"382624123054401"	"0.0286666666666667"	"3.03333333333333"	"0.233333333333333"	NA
"382658123054101"	"0.022"	"2.6"	"0.09"	NA
"382551123041101"	"0.024"	"2.05"	"0.11"	NA
"11463000"	"0.0723703703703704"	"2.625"	"0.494583333333333"	"7624.42307692308"
"382754123030501"	"0.0278888888888889"	"2.14444444444444"	"0.225555555555556"	NA
"382701123025801"	"0.024"	"3.5"	"0.13"	NA
